RackType,AZ,Compatible IPNs,Incompatible IPNs
SC.XYZ.25,IXD1,162,263
SC.XYZ.25,IXD12,162,323
SC.XYZ.25,IXD2,57,266
SC.XYZ.25,IXD202,57,266
SC.XYZ.25,IXD23,57,266
SC.XYZ.25,IXD250,162,161
SC.XYZ.25,IXD33,162,161
SC.XYZ.25,IXD4,57,266
SC.XYZ.25,IXD5,57,266
SC.XYZ.25,IXD53,57,266
SC.XYZ.25,IXD55,162,218
SC.XYZ.25,IXD6,162,263
SC.XYZ.25,IXD62,162,218
SC.XYZ.25,IXD66,12,311
SC.XYZ.25,IXD67,162,161
SC.XYZ.25,IXD69,57,266
SC.XYZ.25,IXD7,162,323
SC.XYZ.25,PAD1,162,263
SC.XYZ.25,PAD2,162,323
SC.XYZ.25,PAD4,162,266
SC.XYZ.25,PAD77,162,161
SC.XYZ.25,PAD79,162,161
SC.XYZ.25,PAD80,162,161
SC.XYZ.25,PAD89,162,161
SC.XYZ.25C,IXD1,51,64
SC.XYZ.25C,IXD12,51,96
SC.XYZ.25C,IXD2,18,78
SC.XYZ.25C,IXD202,18,78
SC.XYZ.25C,IXD23,18,78
SC.XYZ.25C,IXD250,51,45
SC.XYZ.25C,IXD33,51,45
SC.XYZ.25C,IXD4,18,78
SC.XYZ.25C,IXD5,18,78
SC.XYZ.25C,IXD53,18,78
SC.XYZ.25C,IXD55,51,60
SC.XYZ.25C,IXD6,51,64
SC.XYZ.25C,IXD62,51,60
SC.XYZ.25C,IXD66,0,96
SC.XYZ.25C,IXD67,51,45
SC.XYZ.25C,IXD69,18,78
SC.XYZ.25C,IXD7,51,96
SC.XYZ.25C,PAD1,51,60
SC.XYZ.25C,PAD2,51,96
SC.XYZ.25C,PAD4,51,78
SC.XYZ.25C,PAD77,51,45
SC.XYZ.25C,PAD79,51,45
SC.XYZ.25C,PAD80,51,45
SC.XYZ.25C,PAD89,51,45
SC.XYZ.25C2,IXD1,60,78
SC.XYZ.25C2,IXD12,60,119
SC.XYZ.25C2,IXD2,23,96
SC.XYZ.25C2,IXD202,23,96
SC.XYZ.25C2,IXD23,23,96
SC.XYZ.25C2,IXD250,60,59
SC.XYZ.25C2,IXD33,60,59
SC.XYZ.25C2,IXD4,23,96
SC.XYZ.25C2,IXD5,23,96
SC.XYZ.25C2,IXD53,23,96
SC.XYZ.25C2,IXD55,60,74
SC.XYZ.25C2,IXD6,60,78
SC.XYZ.25C2,IXD62,60,74
SC.XYZ.25C2,IXD66,0,119
SC.XYZ.25C2,IXD67,60,59
SC.XYZ.25C2,IXD69,23,96
SC.XYZ.25C2,IXD7,60,119
SC.XYZ.25C2,PAD1,60,74
SC.XYZ.25C2,PAD2,60,119
SC.XYZ.25C2,PAD4,60,96
SC.XYZ.25C2,PAD77,60,59
SC.XYZ.25C2,PAD79,60,59
SC.XYZ.25C2,PAD80,60,59
SC.XYZ.25C2,PAD89,60,59
SC.XYZ.25I,IXD1,36,46
SC.XYZ.25I,IXD12,36,66
SC.XYZ.25I,IXD2,10,56
SC.XYZ.25I,IXD202,10,56
SC.XYZ.25I,IXD23,10,56
SC.XYZ.25I,IXD250,36,30
SC.XYZ.25I,IXD33,36,30
SC.XYZ.25I,IXD4,10,56
SC.XYZ.25I,IXD5,10,56
SC.XYZ.25I,IXD53,10,56
SC.XYZ.25I,IXD55,36,45
SC.XYZ.25I,IXD6,36,46
SC.XYZ.25I,IXD62,36,45
SC.XYZ.25I,IXD66,0,66
SC.XYZ.25I,IXD67,36,30
SC.XYZ.25I,IXD69,10,56
SC.XYZ.25I,IXD7,36,66
SC.XYZ.25I,PAD1,36,46
SC.XYZ.25I,PAD2,36,66
SC.XYZ.25I,PAD4,36,56
SC.XYZ.25I,PAD77,36,30
SC.XYZ.25I,PAD79,36,30
SC.XYZ.25I,PAD80,36,30
SC.XYZ.25I,PAD89,36,30
SC.XYZA.25,IXD1,11,16
SC.XYZA.25,IXD12,11,16
SC.XYZA.25,IXD2,0,16
SC.XYZA.25,IXD202,0,16
SC.XYZA.25,IXD23,0,16
SC.XYZA.25,IXD250,11,5
SC.XYZA.25,IXD33,11,5
SC.XYZA.25,IXD4,0,16
SC.XYZA.25,IXD5,0,16
SC.XYZA.25,IXD53,0,16
SC.XYZA.25,IXD55,11,15
SC.XYZA.25,IXD6,11,16
SC.XYZA.25,IXD62,11,15
SC.XYZA.25,IXD66,0,16
SC.XYZA.25,IXD67,11,5
SC.XYZA.25,IXD69,0,16
SC.XYZA.25,IXD7,11,16
SC.XYZA.25,PAD1,11,15
SC.XYZA.25,PAD2,11,16
SC.XYZA.25,PAD4,11,16
SC.XYZA.25,PAD77,11,5
SC.XYZA.25,PAD79,11,5
SC.XYZA.25,PAD80,11,5
SC.XYZA.25,PAD89,11,5
SC.XYZA.25A,IXD1,35,41
SC.XYZA.25A,IXD12,35,61
SC.XYZA.25A,IXD2,10,51
SC.XYZA.25A,IXD202,10,51
SC.XYZA.25A,IXD23,10,51
SC.XYZA.25A,IXD250,35,26
SC.XYZA.25A,IXD33,35,26
SC.XYZA.25A,IXD4,10,51
SC.XYZA.25A,IXD5,10,51
SC.XYZA.25A,IXD53,10,51
SC.XYZA.25A,IXD55,35,41
SC.XYZA.25A,IXD6,35,41
SC.XYZA.25A,IXD62,35,41
SC.XYZA.25A,IXD66,0,61
SC.XYZA.25A,IXD67,35,26
SC.XYZA.25A,IXD69,10,51
SC.XYZA.25A,IXD7,35,61
SC.XYZA.25A,PAD1,35,41
SC.XYZA.25A,PAD2,35,61
SC.XYZA.25A,PAD4,35,51
SC.XYZA.25A,PAD77,35,26
SC.XYZA.25A,PAD79,35,26
SC.XYZA.25A,PAD80,35,26
SC.XYZA.25A,PAD89,35,26
SC.XYZA.17,IXD1,47,58
SC.XYZA.17,IXD12,47,87
SC.XYZA.17,IXD2,15,72
SC.XYZA.17,IXD202,15,72
SC.XYZA.17,IXD23,15,72
SC.XYZA.17,IXD250,47,40
SC.XYZA.17,IXD33,47,40
SC.XYZA.17,IXD4,15,72
SC.XYZA.17,IXD5,15,72
SC.XYZA.17,IXD53,15,72
SC.XYZA.17,IXD55,47,58
SC.XYZA.17,IXD6,47,58
SC.XYZA.17,IXD62,47,58
SC.XYZA.17,IXD66,0,87
SC.XYZA.17,IXD67,47,40
SC.XYZA.17,IXD69,15,72
SC.XYZA.17,IXD7,47,87
SC.XYZA.17,PAD1,47,58
SC.XYZA.17,PAD2,47,87
SC.XYZA.17,PAD4,47,72
SC.XYZA.17,PAD77,47,40
SC.XYZA.17,PAD79,47,40
